จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,112
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,4,นายเจริญ ชินวงศ์,กล้าธรรม,10
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,5,นายจรยุทธ มาศบำรุง,ประชาชน,50
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,7,นายปัญโน หวานนุรักษ์,พลวัต,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,9,3,475,329,460,329,304,6,19,131,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,123
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,9,3,475,329,460,329,304,6,19,131,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,5
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,9,3,475,329,460,329,304,6,19,131,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,116
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,9,3,475,329,460,329,304,6,19,131,4,นายเจริญ ชินวงศ์,กล้าธรรม,14
